column,missing_count,total_rows,missing_rate,dtype
bfi2_ext01,117582,117582,100.0,float64
mascul,117582,117582,100.0,float64
case_id,117582,117582,100.0,float64
cooperative,117582,117582,100.0,float64
domcat,117582,117582,100.0,float64
File_ID,117582,117582,100.0,float64
lastdot,117582,117582,100.0,float64
mascul2,117582,117582,100.0,float64
pclose_siblings,117582,117582,100.0,float64
sample2,117582,117582,100.0,float64
pclose_parents,117582,117582,100.0,float64
pbossy,117582,117582,100.0,float64
pbirth_rank,117582,117582,100.0,float64
peacemaker,117582,117582,100.0,float64
pcooperative,117582,117582,100.0,float64
pnumber_siblings,117582,117582,100.0,float64
bossy,117582,117582,100.0,float64
bstgrds4,117582,117582,100.0,float64
close_parents,117582,117582,100.0,float64
close_siblings,117582,117582,100.0,float64
income,117582,117582,100.0,float64
class,117582,117582,100.0,float64
compct,117582,117582,100.0,float64
obfi2_agr01,117582,117582,100.0,float64
educat,117582,117582,100.0,float64
ethnicre,117582,117582,100.0,float64
Site_starwars,117582,117582,100.0,float64
Starwars,117582,117582,100.0,float64
gender_number,117582,117582,100.0,float64
taken_before_numeric,117582,117582,100.0,float64
sex,117582,117582,100.0,float64
oldrsib2,117582,117582,100.0,float64
poli_3cat,117582,117582,100.0,float64
plike,117582,117582,100.0,float64
ppeacemaker,117582,117582,100.0,float64
obfi2_cns01r,117582,117582,100.0,float64
tipi5_agr,117582,117582,100.0,float64
music_11,117582,117582,100.0,float64
music_12,117582,117582,100.0,float64
music_13,117582,117582,100.0,float64
music_14,117582,117582,100.0,float64
music_15,117582,117582,100.0,float64
music_16,117582,117582,100.0,float64
bfi2_agr08r,117582,117582,100.0,float64
music_18,117582,117582,100.0,float64
music_19,117582,117582,100.0,float64
music_20,117582,117582,100.0,float64
music_21,117582,117582,100.0,float64
music_22,117582,117582,100.0,float64
music_23,117582,117582,100.0,float64
tipi5_ext,117582,117582,100.0,float64
tipi5_cns,117582,117582,100.0,float64
power2,117582,117582,100.0,float64
tipi5_emo,117582,117582,100.0,float64
tipi5_opn,117582,117582,100.0,float64
aggress,117582,117582,100.0,float64
oagress,117582,117582,100.0,float64
oconventional,117582,117582,100.0,float64
ofunloving,117582,117582,100.0,float64
sibling_gap_months,117582,117582,100.0,float64
sibling_gap_years,117582,117582,100.0,float64
yngrsib2,117582,117582,100.0,float64
surrogate_parent,117582,117582,100.0,float64
pstddev,117582,117582,100.0,float64
psurrogate_parent,117582,117582,100.0,float64
rebel4,117582,117582,100.0,float64
power,117582,117582,100.0,float64
yeartime,117582,117582,100.0,float64
sample3,117582,117582,100.0,float64
music_09,117582,117582,100.0,float64
bfi2_agr03r,117582,117582,100.0,float64
bfi2_cns04,117582,117582,100.0,float64
bfi2_agr04r,117582,117582,100.0,float64
bfi2_ext04r,117582,117582,100.0,float64
bfi2_opn03,117582,117582,100.0,float64
bfi2_neu03,117582,117582,100.0,float64
bfi2_cns03,117582,117582,100.0,float64
bfi2_ext03r,117582,117582,100.0,float64
Sub_starwars,117582,117582,100.0,float64
bfi2_opn02,117582,117582,100.0,float64
bfi2_neu02r,117582,117582,100.0,float64
bfi2_cns02r,117582,117582,100.0,float64
bfi2_agr02,117582,117582,100.0,float64
bfi2_ext02,117582,117582,100.0,float64
bfi2_opn01r,117582,117582,100.0,float64
bfi2_neu04,117582,117582,100.0,float64
bfi2_opn04,117582,117582,100.0,float64
bfi2_ext05,117582,117582,100.0,float64
bfi2_agr05r,117582,117582,100.0,float64
bfi2_cns05r,117582,117582,100.0,float64
bfi2_neu05r,117582,117582,100.0,float64
bfi2_opn05r,117582,117582,100.0,float64
bfi2_ext06r,117582,117582,100.0,float64
bfi2_agr06,117582,117582,100.0,float64
bfi2_cns06r,117582,117582,100.0,float64
bfi2_neu06r,117582,117582,100.0,float64
bfi2_opn06r,117582,117582,100.0,float64
bfi2_ext07r,117582,117582,100.0,float64
bfi2_agr07,117582,117582,100.0,float64
bfi2_cns07,117582,117582,100.0,float64
bfi2_neu07,117582,117582,100.0,float64
bfi2_opn07,117582,117582,100.0,float64
bfi2_neu01r,117582,117582,100.0,float64
bfi2_cns01r,117582,117582,100.0,float64
bfi2_agr01,117582,117582,100.0,float64
bfi2_ext11r,117582,117582,100.0,float64
subversion_number,117582,117582,100.0,float64
obfi2_ext01,117582,117582,100.0,float64
web,117582,117582,100.0,float64
sidnum_1,117582,117582,100.0,float64
bfi2_opn12,117582,117582,100.0,float64
timeunix,117582,117582,100.0,float64
bfi2_neu12,117582,117582,100.0,float64
bfi2_cns12r,117582,117582,100.0,float64
bfi2_agr12,117582,117582,100.0,float64
bfi2_ext12,117582,117582,100.0,float64
bfi2_opn11r,117582,117582,100.0,float64
bfi2_neu11,117582,117582,100.0,float64
bfi2_cns11,117582,117582,100.0,float64
bfi2_agr11,117582,117582,100.0,float64
bfi2_opn10r,117582,117582,100.0,float64
sample,117582,117582,100.0,float64
bfi2_neu10r,117582,117582,100.0,float64
bfi2_cns10r,117582,117582,100.0,float64
bfi2_agr10r,117582,117582,100.0,float64
birthord_eff,117582,117582,100.0,float64
incm_own,117582,117582,100.0,float64
bfi2_ext10,117582,117582,100.0,float64
bfi2_opn09r,117582,117582,100.0,float64
bfi2_neu09r,117582,117582,100.0,float64
bfi2_cns09,117582,117582,100.0,float64
bfi2_agr09r,117582,117582,100.0,float64
bfi2_ext09,117582,117582,100.0,float64
bfi2_opn08,117582,117582,100.0,float64
bfi2_neu08,117582,117582,100.0,float64
bfi2_cns08,117582,117582,100.0,float64
music_10,117582,117582,100.0,float64
music_17,117582,117582,100.0,float64
music_08,117582,117582,100.0,float64
obfi2_neu04,117582,117582,100.0,float64
obfi2_ext07r,117582,117582,100.0,float64
obfi2_opn06r,117582,117582,100.0,float64
obfi2_neu06r,117582,117582,100.0,float64
obfi2_cns06r,117582,117582,100.0,float64
obfi2_agr06,117582,117582,100.0,float64
obfi2_ext06r,117582,117582,100.0,float64
obfi2_opn05r,117582,117582,100.0,float64
obfi2_neu05r,117582,117582,100.0,float64
obfi2_cns05r,117582,117582,100.0,float64
obfi2_agr05r,117582,117582,100.0,float64
obfi2_ext05,117582,117582,100.0,float64
obfi2_opn04,117582,117582,100.0,float64
obfi2_cns04,117582,117582,100.0,float64
obfi2_cns07,117582,117582,100.0,float64
obfi2_agr04r,117582,117582,100.0,float64
obfi2_ext04r,117582,117582,100.0,float64
obfi2_opn03,117582,117582,100.0,float64
obfi2_neu03,117582,117582,100.0,float64
obfi2_cns03,117582,117582,100.0,float64
obfi2_agr03r,117582,117582,100.0,float64
obfi2_ext03r,117582,117582,100.0,float64
obfi2_opn02,117582,117582,100.0,float64
obfi2_neu02r,117582,117582,100.0,float64
obfi2_cns02r,117582,117582,100.0,float64
obfi2_agr02,117582,117582,100.0,float64
obfi2_ext02,117582,117582,100.0,float64
obfi2_agr07,117582,117582,100.0,float64
obfi2_neu07,117582,117582,100.0,float64
music_07,117582,117582,100.0,float64
obfi2_neu10r,117582,117582,100.0,float64
obfi2_opn12,117582,117582,100.0,float64
obfi2_neu12,117582,117582,100.0,float64
obfi2_cns12r,117582,117582,100.0,float64
obfi2_agr12,117582,117582,100.0,float64
obfi2_ext12,117582,117582,100.0,float64
obfi2_opn11r,117582,117582,100.0,float64
obfi2_neu11,117582,117582,100.0,float64
user_id,117582,117582,100.0,float64
obfi2_cns11,117582,117582,100.0,float64
obfi2_agr11,117582,117582,100.0,float64
obfi2_ext11r,117582,117582,100.0,float64
obfi2_opn10r,117582,117582,100.0,float64
obfi2_cns10r,117582,117582,100.0,float64
obfi2_opn07,117582,117582,100.0,float64
obfi2_agr10r,117582,117582,100.0,float64
obfi2_ext10,117582,117582,100.0,float64
obfi2_opn09r,117582,117582,100.0,float64
obfi2_neu09r,117582,117582,100.0,float64
obfi2_cns09,117582,117582,100.0,float64
obfi2_agr09r,117582,117582,100.0,float64
obfi2_ext09,117582,117582,100.0,float64
obfi2_opn08,117582,117582,100.0,float64
obfi2_neu08,117582,117582,100.0,float64
obfi2_cns08,117582,117582,100.0,float64
obfi2_agr08r,117582,117582,100.0,float64
obfi2_ext08r,117582,117582,100.0,float64
obfi2_opn01r,117582,117582,100.0,float64
bfi2_ext08r,117582,117582,100.0,float64
funloving,117582,117582,100.0,float64
num_kids,117582,117582,100.0,float64
bio_birthord,117582,117582,100.0,float64
age_birthordchange,117582,117582,100.0,float64
conventional,117582,117582,100.0,float64
obfi2_neu01r,117582,117582,100.0,float64
music_01,117582,117582,100.0,float64
music_02,117582,117582,100.0,float64
music_03,117582,117582,100.0,float64
music_04,117582,117582,100.0,float64
music_05,117582,117582,100.0,float64
music_06,117582,117582,100.0,float64
normal01,117206,117582,99.68,float64
normal02,117207,117582,99.68,float64
tipi_neu01,116873,117582,99.4,float64
tipi_opn01,116873,117582,99.4,float64
tipi_ext02r,116873,117582,99.4,float64
tipi_agr02,116873,117582,99.4,float64
tipi_neu02r,116873,117582,99.4,float64
tipi_cns01,116873,117582,99.4,float64
tipi_agr01r,116873,117582,99.4,float64
tipi_opn02r,116873,117582,99.4,float64
tipi_ext01,116873,117582,99.4,float64
tipi_cns02r,116873,117582,99.4,float64
research_okay,115500,117582,98.23,float64
obadterms,112066,117582,95.31,float64
orelig,111039,117582,94.44,float64
geoip_possible_city_geoname_id,109302,117582,92.96,float64
geoip_possible_lat_lng_accuracy,109087,117582,92.78,float64
geoip_possible_lng_coords,109087,117582,92.78,float64
geoip_possible_lat_coord,109087,117582,92.78,float64
ose,107441,117582,91.38,float64
other_per,105685,117582,89.88,float64
oliberal,99809,117582,84.88,float64
oopn08,99714,117582,84.8,float64
ocns09r,99694,117582,84.79,float64
oneu07r,99699,117582,84.79,float64
ocns07,99681,117582,84.78,float64
oneu08,99688,117582,84.78,float64
oopn07r,99686,117582,84.78,float64
oagr09,99685,117582,84.78,float64
oopn10,99690,117582,84.78,float64
oopn09r,99680,117582,84.77,float64
oopn06,99677,117582,84.77,float64
oneu06,99669,117582,84.77,float64
oext08,99675,117582,84.77,float64
ocns08,99679,117582,84.77,float64
oext07r,99669,117582,84.77,float64
oagr08r,99660,117582,84.76,float64
ocns05r,99649,117582,84.75,float64
oopn05,99656,117582,84.75,float64
oext06,99648,117582,84.75,float64
ocns06,99654,117582,84.75,float64
oagr06r,99655,117582,84.75,float64
oagr07,99643,117582,84.74,float64
oopn04,99639,117582,84.74,float64
oneu03,99635,117582,84.74,float64
oagr05,99625,117582,84.73,float64
oneu05r,99624,117582,84.73,float64
oopn03,99622,117582,84.73,float64
oext04,99630,117582,84.73,float64
oext05r,99612,117582,84.72,float64
oagr03r,99612,117582,84.72,float64
oagr04,99619,117582,84.72,float64
oneu04,99606,117582,84.71,float64
oopn02,99600,117582,84.71,float64
ocns04r,99607,117582,84.71,float64
oext03,99608,117582,84.71,float64
ocns03,99596,117582,84.7,float64
oneu02r,99588,117582,84.7,float64
ocns02r,99586,117582,84.69,float64
oext02r,99573,117582,84.68,float64
oagr02,99549,117582,84.66,float64
oopn01,99523,117582,84.64,float64
oneu01,99483,117582,84.61,float64
ocns01,99463,117582,84.59,float64
oagr01r,99372,117582,84.51,float64
oext01,99104,117582,84.29,float64
badterms,91082,117582,77.46,float64
youth_like,88776,117582,75.5,float64
sex_ori,88255,117582,75.06,float64
relig,87300,117582,74.25,float64
other_age,82340,117582,70.03,float64
sex_other,79781,117582,67.85,float64
job_min,66012,117582,56.14,float64
now_like,63597,117582,54.09,float64
job_d_acc,63054,117582,53.63,float64
job_maj,62280,117582,52.97,float64
job_tim,62058,117582,52.78,float64
job_enj,61797,117582,52.56,float64
se,59982,117582,51.01,float64
class_own,47636,117582,40.51,float64
answ_truth,32137,117582,27.33,float64
year_born,31946,117582,27.17,float64
option,20990,117582,17.85,float64
survey_id,20990,117582,17.85,float64
sta_you,16775,117582,14.27,float64
sta_now,15662,117582,13.32,float64
ethnic,6249,117582,5.31,float64
edu_pa,4377,117582,3.72,float64
double_part,4203,117582,3.57,float64
edu_own,4119,117582,3.5,float64
time_now,3965,117582,3.37,float64
time_you,3825,117582,3.25,float64
class_pa,3667,117582,3.12,float64
cnt_now,1028,117582,0.87,float64
liberal,912,117582,0.78,float64
cnt_you,748,117582,0.64,float64
agr03r,489,117582,0.42,float64
age,184,117582,0.16,float64
female,120,117582,0.1,float64
Road_counts,0,117582,0.0,float64
Vegetation_counts,0,117582,0.0,float64
Terrain_counts,0,117582,0.0,float64
Pole_counts,0,117582,0.0,float64
Person_counts,0,117582,0.0,float64
Lane Marking - General_counts,0,117582,0.0,float64
Utility Pole_counts,0,117582,0.0,float64
Traffic Sign (Back)_counts,0,117582,0.0,float64
Barrier_counts,0,117582,0.0,float64
Wall_counts,0,117582,0.0,float64
other,0,117582,0.0,object
Fence_counts,0,117582,0.0,float64
Catch Basin_counts,0,117582,0.0,float64
Billboard_counts,0,117582,0.0,float64
Traffic Sign (Front)_counts,0,117582,0.0,float64
Street Light_counts,0,117582,0.0,float64
Motorcycle_counts,0,117582,0.0,float64
Car_counts,0,117582,0.0,float64
Truck_counts,0,117582,0.0,float64
Rail Track_counts,0,117582,0.0,float64
Manhole_counts,0,117582,0.0,float64
Mountain_counts,0,117582,0.0,float64
Sidewalk_counts,0,117582,0.0,float64
On Rails_ratios,0,117582,0.0,float64
Sky_counts,0,117582,0.0,float64
Water_ratios,0,117582,0.0,float64
Other Vehicle_ratios,0,117582,0.0,float64
Fire Hydrant_ratios,0,117582,0.0,float64
Curb Cut_ratios,0,117582,0.0,float64
Snow_ratios,0,117582,0.0,float64
Junction Box_ratios,0,117582,0.0,float64
Traffic Light_ratios,0,117582,0.0,float64
Sand_ratios,0,117582,0.0,float64
Bench_ratios,0,117582,0.0,float64
Parking_ratios,0,117582,0.0,float64
Bus_ratios,0,117582,0.0,float64
Ground Animal_ratios,0,117582,0.0,float64
Curb_counts,0,117582,0.0,float64
Lane Marking - Crosswalk_ratios,0,117582,0.0,float64
Service Lane_ratios,0,117582,0.0,float64
Pothole_ratios,0,117582,0.0,float64
Motorcyclist_ratios,0,117582,0.0,float64
Banner_ratios,0,117582,0.0,float64
Guard Rail_counts,0,117582,0.0,float64
Car Mount_ratios,0,117582,0.0,float64
Tunnel_ratios,0,117582,0.0,float64
Pedestrian Area_ratios,0,117582,0.0,float64
Building_counts,0,117582,0.0,float64
Trash Can_counts,0,117582,0.0,float64
Snow_counts,0,117582,0.0,float64
Trailer_counts,0,117582,0.0,float64
Caravan_counts,0,117582,0.0,float64
Bicyclist_counts,0,117582,0.0,float64
Mailbox_ratios,0,117582,0.0,float64
Mailbox_counts,0,117582,0.0,float64
Wheeled Slow_ratios,0,117582,0.0,float64
Wheeled Slow_counts,0,117582,0.0,float64
Boat_ratios,0,117582,0.0,float64
Ego Vehicle_ratios,0,117582,0.0,float64
Boat_counts,0,117582,0.0,float64
Ego Vehicle_counts,0,117582,0.0,float64
Caravan_ratios,0,117582,0.0,float64
Other Rider_ratios,0,117582,0.0,float64
Bicyclist_ratios,0,117582,0.0,float64
Other Rider_counts,0,117582,0.0,float64
CCTV Camera_ratios,0,117582,0.0,float64
CCTV Camera_counts,0,117582,0.0,float64
Bike Lane_ratios,0,117582,0.0,float64
Phone Booth_ratios,0,117582,0.0,float64
Bike Lane_counts,0,117582,0.0,float64
Phone Booth_counts,0,117582,0.0,float64
Crosswalk - Plain_ratios,0,117582,0.0,float64
Crosswalk - Plain_counts,0,117582,0.0,float64
Bike Rack_ratios,0,117582,0.0,float64
Bicycle_counts,0,117582,0.0,float64
Bicycle_ratios,0,117582,0.0,float64
Bridge_counts,0,117582,0.0,float64
Bus_counts,0,117582,0.0,float64
Traffic Sign Frame_counts,0,117582,0.0,float64
Other Vehicle_counts,0,117582,0.0,float64
Fire Hydrant_counts,0,117582,0.0,float64
Curb Cut_counts,0,117582,0.0,float64
Trailer_ratios,0,117582,0.0,float64
Junction Box_counts,0,117582,0.0,float64
Traffic Light_counts,0,117582,0.0,float64
Sand_counts,0,117582,0.0,float64
Bench_counts,0,117582,0.0,float64
Parking_counts,0,117582,0.0,float64
Water_counts,0,117582,0.0,float64
Pedestrian Area_counts,0,117582,0.0,float64
Ground Animal_counts,0,117582,0.0,float64
Lane Marking - Crosswalk_counts,0,117582,0.0,float64
Service Lane_counts,0,117582,0.0,float64
Pothole_counts,0,117582,0.0,float64
Motorcyclist_counts,0,117582,0.0,float64
Banner_counts,0,117582,0.0,float64
On Rails_counts,0,117582,0.0,float64
Car Mount_counts,0,117582,0.0,float64
Bird_counts,0,117582,0.0,float64
Tunnel_counts,0,117582,0.0,float64
Traffic Sign Frame_ratios,0,117582,0.0,float64
Street Light_ratios,0,117582,0.0,float64
Bridge_ratios,0,117582,0.0,float64
agr05,0,117582,0.0,float64
agr07,0,117582,0.0,float64
ext07r,0,117582,0.0,float64
opn06,0,117582,0.0,float64
neu06,0,117582,0.0,float64
cns06,0,117582,0.0,float64
agr06r,0,117582,0.0,float64
ext06,0,117582,0.0,float64
opn05,0,117582,0.0,float64
neu05r,0,117582,0.0,float64
cns05r,0,117582,0.0,float64
ext05r,0,117582,0.0,float64
cns02r,0,117582,0.0,float64
opn04,0,117582,0.0,float64
neu04,0,117582,0.0,float64
cns04r,0,117582,0.0,float64
agr04,0,117582,0.0,float64
ext04,0,117582,0.0,float64
opn03,0,117582,0.0,float64
neu03,0,117582,0.0,float64
cns03,0,117582,0.0,float64
ext03,0,117582,0.0,float64
opn02,0,117582,0.0,float64
cns07,0,117582,0.0,float64
neu07r,0,117582,0.0,float64
opn07r,0,117582,0.0,float64
ext08,0,117582,0.0,float64
geoip_lookup_time,0,117582,0.0,object
geoip_possible_timezone,0,117582,0.0,object
geoip_possible_city_name,0,117582,0.0,object
geoip_possible_postal_code,0,117582,0.0,object
geoip_possible_country_code,0,117582,0.0,object
dataset,0,117582,0.0,float64
langu,0,117582,0.0,float64
survey_sub,0,117582,0.0,float64
startdat,0,117582,0.0,object
topdom,0,117582,0.0,object
country3,0,117582,0.0,object
pparents_ses,0,117582,0.0,object
race_qual,0,117582,0.0,object
opn10,0,117582,0.0,float64
cns09r,0,117582,0.0,float64
agr09,0,117582,0.0,float64
opn09r,0,117582,0.0,float64
opn08,0,117582,0.0,float64
neu08,0,117582,0.0,float64
cns08,0,117582,0.0,float64
agr08r,0,117582,0.0,float64
neu02r,0,117582,0.0,float64
agr02,0,117582,0.0,float64
Guard Rail_ratios,0,117582,0.0,float64
Wall_ratios,0,117582,0.0,float64
Sky_ratios,0,117582,0.0,float64
Terrain_ratios,0,117582,0.0,float64
Vegetation_ratios,0,117582,0.0,float64
Utility Pole_ratios,0,117582,0.0,float64
Car_ratios,0,117582,0.0,float64
Person_ratios,0,117582,0.0,float64
Pole_ratios,0,117582,0.0,float64
Barrier_ratios,0,117582,0.0,float64
Lane Marking - General_ratios,0,117582,0.0,float64
Traffic Sign (Back)_ratios,0,117582,0.0,float64
Fence_ratios,0,117582,0.0,float64
ext02r,0,117582,0.0,float64
Billboard_ratios,0,117582,0.0,float64
Catch Basin_ratios,0,117582,0.0,float64
Traffic Sign (Front)_ratios,0,117582,0.0,float64
scoring_outputs,0,117582,0.0,object
Motorcycle_ratios,0,117582,0.0,float64
Truck_ratios,0,117582,0.0,float64
Rail Track_ratios,0,117582,0.0,float64
Manhole_ratios,0,117582,0.0,float64
Mountain_ratios,0,117582,0.0,float64
Trash Can_ratios,0,117582,0.0,float64
Building_ratios,0,117582,0.0,float64
Sidewalk_ratios,0,117582,0.0,float64
Road_ratios,0,117582,0.0,float64
Curb_ratios,0,117582,0.0,float64
opn01,0,117582,0.0,float64
neu01,0,117582,0.0,float64
cns01,0,117582,0.0,float64
agr01r,0,117582,0.0,float64
ext01,0,117582,0.0,float64
now_zip,0,117582,0.0,object
youth_zip,0,117582,0.0,object
http_referer_sic_data,0,117582,0.0,object
record_browser_agent,0,117582,0.0,object
record_ip_name,0,117582,0.0,object
record_ip_addr,0,117582,0.0,object
record_time,0,117582,0.0,object
record_id,0,117582,0.0,float64
site,0,117582,0.0,object
extraversion,0,117582,0.0,float64
agreeableness,0,117582,0.0,float64
conscientiousness,0,117582,0.0,float64
neuroticism,0,117582,0.0,float64
openness,0,117582,0.0,float64
image_count,0,117582,0.0,uint32
Bird_ratios,0,117582,0.0,float64
Bike Rack_counts,0,117582,0.0,float64
